Link_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Link_id,Link_throughput_plot,Packet_transmitted,Packet_transmitted,Packet_errored,Packet_errored,Packet_collided,Packet_collided,Bytes_transmitted(bytes),Payload_transmitted(bytes),Overhead_transmitted(bytes),,,,
 , ,Data,Control,Data,Control,Data,Control, , , ,,,,
224.0.0.0,240.0.0.0,on-link,11.1.1.1 11.2.1.1 11.4.1.1 ,306,MULTICAST,,,,,,,,,
255.255.255.255,255.255.255.255,on-link,11.4.1.1 ,999,BROADCAST,,,,,,,,,
255.255.255.255,255.255.255.255,on-link,11.1.1.1 ,999,BROADCAST,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ROUTER_4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Network Destination,Netmask/Prefix len,Gateway,Interface,Metrics,Type,,,,,,,,,
11.2.1.1,255.255.255.255,11.2.1.1,11.2.1.2 ,100,OSPF,,,,,,,,,
11.5.0.0,255.255.0.0,on-link,11.5.1.1 ,300,LOCAL,,,,,,,,,
11.3.0.0,255.255.0.0,on-link,11.3.1.1 ,300,LOCAL,,,,,,,,,
11.2.0.0,255.255.0.0,on-link,11.2.1.2 ,300,LOCAL,,,,,,,,,
224.0.0.1,255.255.255.255,on-link,11.2.1.2 11.3.1.1 11.5.1.1 ,306,MULTICAST,,,,,,,,,
224.0.0.0,240.0.0.0,on-link,11.2.1.2 11.3.1.1 11.5.1.1 ,306,MULTICAST,,,,,,,,,
255.255.255.255,255.255.255.255,on-link,11.5.1.1 ,999,BROADCAST,,,,,,,,,
255.255.255.255,255.255.255.255,on-link,11.3.1.1 ,999,BROADCAST,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
WIRED_NODE_5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Network Destination,Netmask/Prefix len,Gateway,Interface,Metrics,Type,,,,,,,,,
11.4.0.0,255.255.0.0,on-link,11.4.1.2 ,300,LOCAL,,,,,,,,,
224.0.0.1,255.255.255.255,on-link,11.4.1.2 ,306,MULTICAST,,,,,,,,,
224.0.0.0,240.0.0.0,on-link,11.4.1.2 ,306,MULTICAST,,,,,,,,,
255.255.255.255,255.255.255.255,on-link,11.4.1.2 ,999,BROADCAST,,,,,,,,,
0.0.0.0,0.0.0.0,11.4.1.1,11.4.1.2 ,999,DEFAULT,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
WIRED_NODE_6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Network Destination,Netmask/Prefix len,Gateway,Interface,Metrics,Type,,,,,,,,,
11.5.0.0,255.255.0.0,on-link,11.5.1.2 ,300,LOCAL,,,,,,,,,
224.0.0.1,255.255.255.255,on-link,11.5.1.2 ,306,MULTICAST,,,,,,,,,
224.0.0.0,240.0.0.0,on-link,11.5.1.2 ,306,MULTICAST,,,,,,,,,
255.255.255.255,255.255.255.255,on-link,11.5.1.2 ,999,BROADCAST,,,,,,,,,
0.0.0.0,0.0.0.0,11.5.1.1,11.5.1.2 ,999,DEFAULT,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Application_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Application Id,Throughput Plot,Application Name,Source Id,Destination Id,Packet generated,Packet received,Payload generated (bytes),Payload received (bytes),Throughput (Mbps),Delay(microsec),Jitter(microsec),,,
1,Application_Throughput_plot,App1_CBR,1,2,1900,1900,2774000,2774000,0.58425,3741.888505,0.288657,,,
2,Application_Throughput_plot,App2_CBR,2,1,1900,1900,2774000,2774000,0.58425,3741.888505,0.288657,,,
3,Application_Throughput_plot,App3_CBR,5,6,1900,1900,2774000,2774000,0.584232,4941.888505,0.288657,,,
4,Application_Throughput_plot,App4_CBR,6,5,1900,1900,2774000,2774000,0.584232,4941.888505,0.288657,,,
